       CYCLE                    TASK                       JOBID               STATE         EXIT STATUS     TRIES      DURATION
================================================================================================================================
197001010000    compile_s2swa_32bit_intel                      289677           SUCCEEDED                   0         1         481.0
197001010000    cpld_control_p8_mixedmode_intel                      289692           SUCCEEDED                   0         1         454.0
197001010000    cpld_control_gefs_intel                      289787                DEAD                  15         3        1815.0
197001010000    compile_s2swa_32bit_pdlib_intel                      289681           SUCCEEDED                   0         1         659.0
197001010000    cpld_control_gfsv17_intel                      289696           SUCCEEDED                   0         1         914.0
197001010000    cpld_control_gfsv17_iau_intel                      289708           SUCCEEDED                   0         1         790.0
197001010000    compile_s2swa_32bit_pdlib_sfs_intel                      289675           SUCCEEDED                   0         1         653.0
197001010000    cpld_control_sfs_intel                      289695           SUCCEEDED                   0         1         766.0
197001010000    compile_s2swa_32bit_pdlib_debug_intel                      289679           SUCCEEDED                   0         1         169.0
197001010000    cpld_debug_gfsv17_intel                      289690                DEAD                   1         3         220.0
197001010000     compile_s2swa_intel                      289676           SUCCEEDED                   0         1         483.0
197001010000    cpld_control_p8_intel                      289691           SUCCEEDED                   0         1        1233.0
197001010000    cpld_control_p8.v2.sfc_intel                      289694           SUCCEEDED                   0         1         939.0
197001010000    cpld_control_ciceC_p8_intel                      289697           SUCCEEDED                   0         1         466.0
197001010000    cpld_control_c192_p8_intel                      289698           SUCCEEDED                   0         1        1337.0
197001010000    compile_s2swal_intel                      289678           SUCCEEDED                   0         1         471.0
197001010000    cpld_control_p8_lnd_intel                      289699           SUCCEEDED                   0         1         507.0
197001010000      cpld_s2sa_p8_intel                      289700           SUCCEEDED                   0         1         361.0
197001010000      compile_s2sw_intel                      289680           SUCCEEDED                   0         1         454.0
197001010000    cpld_control_noaero_p8_intel                      289701           SUCCEEDED                   0         1         429.0
197001010000    cpld_control_nowave_noaero_p8_intel                      289702           SUCCEEDED                   0         1         323.0
197001010000    compile_s2swa_debug_intel                      289682           SUCCEEDED                   0         1         166.0
197001010000     cpld_debug_p8_intel                      289687           SUCCEEDED                   0         1         820.0
197001010000    compile_s2sw_debug_intel                      289683           SUCCEEDED                   0         1         151.0
197001010000    cpld_debug_noaero_p8_intel                      289686           SUCCEEDED                   0         1         579.0
197001010000    compile_s2s_aoflux_intel                      289684           SUCCEEDED                   0         1         365.0
197001010000    cpld_control_noaero_p8_agrid_intel                      289689           SUCCEEDED                   0         1         590.0
197001010000       compile_s2s_intel                      289703           SUCCEEDED                   0         1         376.0
197001010000    cpld_control_c48_intel                      289711           SUCCEEDED                   0         1         284.0
197001010000    cpld_warmstart_c48_intel                      289712           SUCCEEDED                   0         1         108.0
197001010000    compile_s2swa_faster_intel                      289704           SUCCEEDED                   0         1         496.0
197001010000    cpld_control_p8_faster_intel                      289715           SUCCEEDED                   0         1         458.0
197001010000    compile_s2sw_pdlib_intel                      289706           SUCCEEDED                   0         1         676.0
197001010000    cpld_control_pdlib_p8_intel                      289721           SUCCEEDED                   0         1         696.0
197001010000    compile_s2sw_pdlib_debug_intel                      289705           SUCCEEDED                   0         1         155.0
197001010000    cpld_debug_pdlib_p8_intel                      289719                DEAD                   1         3         167.0
197001010000    compile_atm_dyn32_intel                      289707           SUCCEEDED                   0         1         359.0
197001010000     control_flake_intel                      289716           SUCCEEDED                   0         1         158.0
197001010000    control_CubedSphereGrid_intel                      289717           SUCCEEDED                   0         1         131.0
197001010000    control_CubedSphereGrid_parallel_intel                      289718           SUCCEEDED                   0         1         146.0
197001010000    control_latlon_intel                      289720           SUCCEEDED                   0         1         140.0
197001010000    control_wrtGauss_netcdf_parallel_intel                      289723           SUCCEEDED                   0         1         126.0
197001010000       control_c48_intel                      289722           SUCCEEDED                   0         1         301.0
197001010000    control_c48.v2.sfc_intel                      289725           SUCCEEDED                   0         1         259.0
197001010000    control_c48_lnd_iau_intel                      289726           SUCCEEDED                   0         1         305.0
197001010000      control_c192_intel                      289724           SUCCEEDED                   0         1         354.0
197001010000      control_c384_intel                      289727           SUCCEEDED                   0         1         473.0
197001010000    control_c384gdas_intel                      289728           SUCCEEDED                   0         1         534.0
197001010000    control_stochy_intel                      289731           SUCCEEDED                   0         1          71.0
197001010000      control_lndp_intel                      289730           SUCCEEDED                   0         1          69.0
197001010000     control_iovr4_intel                      289732           SUCCEEDED                   0         1         113.0
197001010000     control_iovr5_intel                      289734           SUCCEEDED                   0         1         116.0
197001010000        control_p8_intel                      289733           SUCCEEDED                   0         1         152.0
197001010000    control_p8.v2.sfc_intel                      289736           SUCCEEDED                   0         1         170.0
197001010000    control_p8_ugwpv1_intel                      289735           SUCCEEDED                   0         1         158.0
197001010000    control_p8_lndp_intel                      289738           SUCCEEDED                   0         1         234.0
197001010000    control_p8_rrtmgp_intel                      289737           SUCCEEDED                   0         1         195.0
197001010000    control_p8_mynn_intel                      289739           SUCCEEDED                   0         1         160.0
197001010000    merra2_thompson_intel                      289740           SUCCEEDED                   0         1         168.0
197001010000    regional_control_intel                      289742           SUCCEEDED                   0         1         235.0
197001010000    regional_noquilt_intel                      289741           SUCCEEDED                   0         1         234.0
197001010000    regional_netcdf_parallel_intel                      289743           SUCCEEDED                   0         1         239.0
197001010000     regional_wofs_intel                      289744           SUCCEEDED                   0         1         307.0
197001010000      compile_rrfs_intel                      289709           SUCCEEDED                   0         1         344.0
197001010000       rap_control_intel                      289746           SUCCEEDED                   0         1         321.0
197001010000    regional_spp_sppt_shum_skeb_intel                      289745           SUCCEEDED                   0         1         232.0
197001010000       rap_sfcdiff_intel                      289747           SUCCEEDED                   0         1         314.0
197001010000      hrrr_control_intel                      289749           SUCCEEDED                   0         1         171.0
197001010000       rrfs_v1beta_intel                      289748           SUCCEEDED                   0         1         315.0
197001010000       rrfs_v1nssl_intel                      289751           SUCCEEDED                   0         1         411.0
197001010000    rrfs_v1nssl_nohailnoccn_intel                      289750           SUCCEEDED                   0         1         402.0
197001010000    compile_csawmg_intel                      289714           SUCCEEDED                   0         1         331.0
197001010000    control_csawmg_intel                      289752           SUCCEEDED                   0         1         291.0
197001010000       control_ras_intel                      289754           SUCCEEDED                   0         1         142.0
197001010000       compile_wam_intel                      289753           SUCCEEDED                   0         1         329.0
197001010000       control_wam_intel                      289765           SUCCEEDED                   0         1         506.0
197001010000    compile_atm_faster_dyn32_intel                      289755           SUCCEEDED                   0         1         339.0
197001010000    control_p8_faster_intel                      289766           SUCCEEDED                   0         1         154.0
